id,question,box,last_review
cc2adc3b-bef5-403c-8341-bf3835efaeb9,What is the meaning of: '...',1,2025-08-23
a9eecea1-ab67-43d3-990e-17f786aa0661,What is the meaning of: '...',1,2025-08-23
66157d2b-7d4e-46ad-a063-f828e55c4b2a,What is the meaning of: '...',1,2025-08-23
00be3595-56ae-44df-b317-4c79390b8f76,What is the meaning of: 'Scenario: The Magical Fruit Garden You a...',1,2025-08-23
d5cd6420-7b97-45e4-9bf5-fe61c4f01a16,"What is the meaning of: 'In this garden, fruits grow in a special...'",1,2025-08-23
4857070b-9ef3-4dbf-9599-5b722b94ad20,What is the meaning of: 'The garden has the following rules: Frui...',1,2025-08-23
d1db3063-6752-4ff5-a14e-f97e890124b5,"What is the meaning of: 'The first fruit grows to size 1, the sec...'",1,2025-08-23
ebdf362c-7da8-4a4a-91d2-63dd168e770b,What is the meaning of: 'You need to calculate the total size of ...',1,2025-08-23
d23f367f-6e69-4b11-9007-44e6e6b2b8e4,"What is the meaning of: 'Magical Watering: Every day, you can wat...'",1,2025-08-23
818794d3-a370-4bae-9552-766807e8b8ef,What is the meaning of: 'If you water the fruits on a particular ...',1,2025-08-23
28b8aa45-6b8b-4adf-8ac3-0c06a7ae8ec1,What is the meaning of: 'You need to keep track of whether you wa...',1,2025-08-23
3546be89-3a5f-47a7-a663-f67c8aab1bb6,What is the meaning of: 'Fruit Harvesting: After a certain number...',1,2025-08-23
1306440d-5441-4a2a-b7c6-a3548fd777af,"What is the meaning of: 'However, you can only harvest fruits tha...'",1,2025-08-23
adb98809-2158-48a7-a2a0-aff1882f7794,What is the meaning of: 'Scenario: The Magical Fruit Garden You a...',1,2025-08-23
59a2af3b-5fab-437d-9fec-3bd58c0671f5,"What is the meaning of: 'In this garden, fruits grow in a special...'",1,2025-08-23
ea3c383d-987f-4665-bcea-3d6945dfeb6f,What is the meaning of: 'The garden has the following rules: Frui...',1,2025-08-23
7690c4c9-b8a9-4f5d-9737-3b7497ef547d,"What is the meaning of: 'The first fruit grows to size 1, the sec...'",1,2025-08-23
9ad4d4d9-fd74-4723-86e5-084c34a4150c,What is the meaning of: 'You need to calculate the total size of ...',1,2025-08-23
0fd019ce-f34c-4a14-a372-e167aafcfb62,"What is the meaning of: 'Magical Watering: Every day, you can wat...'",1,2025-08-23
685867a7-0095-4201-b053-474d382206ad,What is the meaning of: 'If you water the fruits on a particular ...',1,2025-08-23
03cbcc86-921b-4510-b853-a26a4cb0a632,What is the meaning of: 'You need to keep track of whether you wa...',1,2025-08-23
706ba968-b782-4fae-8aef-0c180169f113,What is the meaning of: 'Fruit Harvesting: After a certain number...',1,2025-08-23
e549155f-b839-40ef-9c9d-ea1945d5a17b,"What is the meaning of: 'However, you can only harvest fruits tha...'",1,2025-08-23
07cdfdca-de89-4f7f-84d9-05aef19a385d,What is the meaning of: 'Sample Study Notes The solar system cons...',1,2025-08-23
78ee73e8-5f47-4e4c-bffd-57945334c76e,What is the meaning of: 'This includes the eight planets and thei...',1,2025-08-23
273e5169-e130-40f1-bd39-351c0277d965,What is the meaning of: 'Earth is the third planet from the Sun a...',1,2025-08-23
f2fe6820-ce06-4f84-a556-211576c8bb16,What is the meaning of: 'Mars is often called the Red Planet beca...',1,2025-08-23
